Time,[A],[B]
0,1,100
1,429.06,-2.71895e-17
2,358.358,8.10125e-16
3,299.305,3.75614e-16
4,249.984,-4.61419e-15
5,208.79,1.29205e-14
6,174.385,-6.40619e-14
7,145.649,3.24575e-13
8,121.648,-4.41853e-14
9,101.602,1.90949e-14
10,84.8596,-8.60067e-13
11,70.876,9.13558e-13
12,59.1967,9.64487e-15
13,49.4421,2.23813e-15
14,41.2947,-9.23068e-15
15,34.4899,-2.23023e-14
16,28.8064,8.98935e-14
17,24.0596,-3.07546e-13
18,20.0949,2.67857e-13
19,16.7836,8.13382e-13
20,14.0179,-1.05726e-11
21,11.7079,3.26488e-13
22,9.77864,7.38082e-14
23,8.16726,4.198e-14
24,6.82141,1.79867e-14
25,5.69734,1.58366e-14
26,4.75851,9.35607e-15
27,3.97437,8.81698e-15
28,3.31946,8.27704e-15
29,2.77246,9.31163e-15
30,2.3156,1.1829e-14
31,1.93402,1.64203e-14
32,1.61532,2.26729e-14
33,1.34914,3.46356e-14
34,1.12682,5.48173e-14
35,0.941138,9.07152e-14
36,0.786052,1.55506e-13
37,0.656522,2.73764e-13
38,0.548336,4.94144e-13
39,0.457978,9.104e-13
40,0.38251,1.7037e-12
41,0.319478,3.23129e-12
42,0.266833,6.20061e-12
43,0.222862,1.2017e-11
44,0.186138,2.34737e-11
45,0.155465,4.61541e-11
46,0.129847,9.12589e-11
47,0.10845,1.81313e-10
48,0.0905789,3.61712e-10
49,0.0756528,7.23864e-10
50,0.0631863,1.45146e-09
51,0.0527741,2.92127e-09
52,0.0440777,5.8903e-09
53,0.0368144,1.18953e-08
54,0.0307479,2.40544e-08
55,0.0256811,4.86992e-08
56,0.0214492,9.86836e-08
57,0.0179147,2.00127e-07
58,0.0149626,4.06113e-07
59,0.012497,8.24563e-07
60,0.0104377,1.67493e-06
61,0.00871774,3.40356e-06
62,0.00728122,6.91845e-06
63,0.00608144,1.40669e-05
64,0.00507941,2.86078e-05
65,0.00424257,5.81902e-05
66,0.00354375,0.000118381
67,0.00296029,0.000240863
68,0.00247332,0.000490124
69,0.00206719,0.000997424
70,0.001729,0.00202995
71,0.00144825,0.00413161
72,0.00121672,0.00840959
73,0.00102843,0.0171178
74,0.000880103,0.0348447
75,0.000772372,0.0709311
76,0.000713477,0.144392
77,0.000731563,0.293936
78,0.000927622,0.598347
79,0.00181242,1.21791
80,0.0085341,2.47765
81,0.23778,4.98608
82,32.0049,1.82399
83,35.1477,0.00219205
84,29.3661,6.92242e-06
85,24.527,6.34546e-08
86,20.4853,1.41697e-09
87,17.1096,6.65081e-11
88,14.2902,5.83017e-12
89,11.9354,8.48518e-13
90,9.96861,1.60892e-13
91,8.32593,1.18945e-13
92,6.95393,5.46097e-14
93,5.80803,6.66782e-14
94,4.85095,2.66327e-14
95,4.05159,2.8021e-14
96,3.38394,2.66045e-14
97,2.82632,2.91066e-14
98,2.36058,3.52176e-14
99,1.97159,4.63548e-14
